"FIPS","FSA County","Program Year","Pasture Type","Qualifying Drought Event","Qualifying Date","Drought Factor","Maximum Eligible Payment Months","Payment Factor"
"01059","01059",2025,"Full Season Improved Mixed Pasture","D2","2025-01-25",1,5,1
"01059","01059",2025,"Long Season Small Grains","D2","2025-01-25",1,5,1
"01061","01061",2025,"Full Season Improved Pasture","D3a","2025-11-18",3,5,3
"01063","01063",2025,"Annual Ryegrass","D2","2025-01-25",1,5,1
"01063","01063",2025,"Forage Sorghum","D3a","2025-09-30",3,5,4
"01063","01063",2025,"Forage Sorghum","D3b","2025-10-27",4,5,4
"01063","01063",2025,"Full Season Improved Mixed Pasture","D2","2025-01-25",1,5,3
"01063","01063",2025,"Full Season Improved Mixed Pasture","D3a","2025-09-30",3,5,3
"01063","01063",2025,"Full Season Improved Pasture","D3a","2025-09-30",3,5,4
"01063","01063",2025,"Full Season Improved Pasture","D3b","2025-10-27",4,5,4
"01063","01063",2025,"Long Season Small Grains","D2","2025-01-25",1,5,1
"01065","01065",2025,"Annual Ryegrass","D2","2025-01-25",1,5,1
"01065","01065",2025,"Forage Sorghum","D3a","2025-09-30",3,5,4
"01065","01065",2025,"Forage Sorghum","D3b","2025-10-27",4,5,4
"01065","01065",2025,"Full Season Improved Mixed Pasture","D2","2025-01-25",1,5,3
"01065","01065",2025,"Full Season Improved Mixed Pasture","D3a","2025-09-30",3,5,3
"01065","01065",2025,"Full Season Improved Pasture","D3a","2025-09-30",3,5,4
"01065","01065",2025,"Full Season Improved Pasture","D3b","2025-10-27",4,5,4
"01065","01065",2025,"Long Season Small Grains","D2","2025-01-25",1,5,1
"01067","01067",2025,"Full Season Improved Pasture","D3a","2025-11-18",3,5,3
"01069","01069",2025,"Forage Sorghum","D3a","2025-10-14",3,5,3
"01069","01069",2025,"Full Season Improved Mixed Pasture","D3a","2025-10-14",3,5,3
"01069","01069",2025,"Full Season Improved Pasture","D3a","2025-10-14",3,5,4
"01069","01069",2025,"Full Season Improved Pasture","D3b","2025-11-10",4,5,4
"01069","01069",2025,"Full Season Improved Pasture","D4a","2025-11-25",4,5,4
"01077","01077",2025,"Annual Ryegrass","D2","2025-01-25",1,5,1
"01077","01077",2025,"Full Season Improved Mixed Pasture","D2","2025-01-25",1,5,1
"01077","01077",2025,"Full Season Improved Pasture","D2","2025-11-10",1,5,1
"01077","01077",2025,"Long Season Small Grains","D2","2025-01-25",1,5,1
"01079","01079",2025,"Annual Ryegrass","D2","2025-01-25",1,5,1
"01079","01079",2025,"Full Season Improved Mixed Pasture","D2","2025-01-25",1,5,1
"01079","01079",2025,"Long Season Small Grains","D2","2025-01-25",1,5,1
"01081","01081",2025,"Full Season Improved Pasture","D2","2025-11-17",1,5,1
"01083","01083",2025,"Annual Ryegrass","D4a","2024-12-01",4,5,4
"01083","01083",2025,"Annual Ryegrass","D3a","2024-12-17",3,5,4
"01083","01083",2025,"Full Season Improved Mixed Pasture","D4a","2024-12-01",4,5,4
"01083","01083",2025,"Full Season Improved Mixed Pasture","D3a","2024-12-17",3,5,4
"01083","01083",2025,"Long Season Small Grains","D4a","2024-12-01",4,5,4
"01083","01083",2025,"Long Season Small Grains","D3a","2024-12-17",3,5,4
"01085","01085",2025,"Annual Ryegrass","D2","2025-01-25",1,5,1
"01085","01085",2025,"Full Season Improved Mixed Pasture","D2","2025-01-25",1,5,1
"01085","01085",2025,"Long Season Small Grains","D2","2025-01-25",1,5,1
"01089","01089",2025,"Annual Ryegrass","D3a","2024-12-01",3,5,4
"01089","01089",2025,"Annual Ryegrass","D3b","2024-12-30",4,5,4
"01089","01089",2025,"Full Season Improved Mixed Pasture","D3a","2024-12-01",3,5,4
"01089","01089",2025,"Full Season Improved Mixed Pasture","D3b","2024-12-30",4,5,4
"01089","01089",2025,"Long Season Small Grains","D3a","2024-12-01",3,5,4
"01089","01089",2025,"Long Season Small Grains","D3b","2024-12-30",4,5,4
"01091","01091",2025,"Annual Ryegrass","D3a","2024-12-01",3,5,3
"01091","01091",2025,"Annual Ryegrass","D2","2025-01-27",1,5,3
"01091","01091",2025,"Forage Sorghum","D3a","2025-09-30",3,5,4
"01091","01091",2025,"Forage Sorghum","D3b","2025-10-27",4,5,4
"01091","01091",2025,"Full Season Improved Mixed Pasture","D3a","2024-12-01",3,5,3
"01091","01091",2025,"Full Season Improved Mixed Pasture","D2","2025-01-27",1,5,3
"01091","01091",2025,"Full Season Improved Pasture","D3a","2025-09-30",3,5,4
"01091","01091",2025,"Full Season Improved Pasture","D3b","2025-10-27",4,5,4
"01091","01091",2025,"Long Season Small Grains","D3a","2024-12-01",3,5,3
"01091","01091",2025,"Long Season Small Grains","D2","2025-01-27",1,5,3
"01099","01099",2025,"Full Season Improved Pasture","D2","2025-11-17",1,5,1
"01103","01103",2025,"Annual Ryegrass","D2","2025-01-25",1,5,1
"01103","01103",2025,"Full Season Improved Mixed Pasture","D2","2025-01-25",1,5,1
"01103","01103",2025,"Long Season Small Grains","D2","2025-01-25",1,5,1
"01105","01105",2025,"Annual Ryegrass","D3a","2024-12-01",3,5,3
"01105","01105",2025,"Annual Ryegrass","D2","2025-01-27",1,5,3
"01105","01105",2025,"Forage Sorghum","D3a","2025-10-07",3,5,3
"01105","01105",2025,"Full Season Improved Mixed Pasture","D3a","2024-12-01",3,5,3
"01105","01105",2025,"Full Season Improved Mixed Pasture","D2","2025-01-27",1,5,3
"01105","01105",2025,"Full Season Improved Pasture","D3a","2025-10-07",3,5,4
"01105","01105",2025,"Full Season Improved Pasture","D3b","2025-11-03",4,5,4
"01105","01105",2025,"Long Season Small Grains","D3a","2024-12-01",3,5,3
"01105","01105",2025,"Long Season Small Grains","D2","2025-01-27",1,5,3
"01107","01107",2025,"Forage Sorghum","D3a","2025-10-07",3,5,3
"01107","01107",2025,"Full Season Improved Mixed Pasture","D3a","2025-10-07",3,5,3
"01107","01107",2025,"Full Season Improved Pasture","D3a","2025-10-07",3,5,3
"01109","01109",2025,"Full Season Improved Pasture","D3a","2025-11-25",3,5,3
"01117","01117",2025,"Forage Sorghum","D3a","2025-10-21",3,5,3
"01117","01117",2025,"Full Season Improved Pasture","D3a","2025-10-21",3,5,3
"01119","01119",2025,"Annual Ryegrass","D3a","2024-12-01",3,5,3
"01119","01119",2025,"Annual Ryegrass","D2","2025-01-27",1,5,3
"01119","01119",2025,"Forage Sorghum","D3a","2025-09-30",3,5,4
"01119","01119",2025,"Forage Sorghum","D3b","2025-10-27",4,5,4
"01119","01119",2025,"Full Season Improved Mixed Pasture","D3a","2024-12-01",3,5,3
"01119","01119",2025,"Full Season Improved Mixed Pasture","D2","2025-01-27",1,5,3
"01119","01119",2025,"Full Season Improved Pasture","D3a","2025-09-30",3,5,4
"01119","01119",2025,"Full Season Improved Pasture","D3b","2025-10-27",4,5,4
"01119","01119",2025,"Long Season Small Grains","D3a","2024-12-01",3,5,3
"01119","01119",2025,"Long Season Small Grains","D2","2025-01-27",1,5,3
"01125","01125",2025,"Forage Sorghum","D3a","2025-10-07",3,5,3
"01125","01125",2025,"Full Season Improved Mixed Pasture","D3a","2025-10-07",3,5,3
"01125","01125",2025,"Full Season Improved Pasture","D3a","2025-10-07",3,5,4
"01125","01125",2025,"Full Season Improved Pasture","D3b","2025-11-03",4,5,4
"01129","01129",2025,"Annual Ryegrass","D3a","2024-12-01",3,5,3
"01129","01129",2025,"Full Season Improved Mixed Pasture","D3a","2024-12-01",3,5,3
"01129","01129",2025,"Long Season Small Grains","D3a","2024-12-01",3,5,3
"01131","01131",2025,"Annual Ryegrass","D3a","2024-12-01",3,5,3
"01131","01131",2025,"Annual Ryegrass","D2","2025-01-27",1,5,3
"01131","01131",2025,"Forage Sorghum","D3a","2025-10-14",3,5,3
"01131","01131",2025,"Full Season Improved Mixed Pasture","D3a","2024-12-01",3,5,3
"01131","01131",2025,"Full Season Improved Mixed Pasture","D2","2025-01-27",1,5,3
"01131","01131",2025,"Full Season Improved Pasture","D3a","2025-10-14",3,5,3
"01131","01131",2025,"Long Season Small Grains","D3a","2024-12-01",3,5,3
"01131","01131",2025,"Long Season Small Grains","D2","2025-01-27",1,5,3
"01133","01133",2025,"Annual Ryegrass","D2","2025-01-25",1,5,1
"01133","01133",2025,"Full Season Improved Mixed Pasture","D2","2025-01-25",1,5,1
"01133","01133",2025,"Long Season Small Grains","D2","2025-01-25",1,5,1
"04001","04001",2025,"Native Pasture","D3a","2025-02-04",3,5,4
"04001","04001",2025,"Native Pasture","D3b","2025-03-03",4,5,4
"04001","04001",2025,"Native Pasture","D4a","2025-07-01",4,5,4
"04003","04003",2025,"Native Pasture","D3a","2025-02-11",3,5,5
"04003","04003",2025,"Native Pasture","D3b","2025-03-10",4,5,5
"04003","04003",2025,"Native Pasture","D4a","2025-04-15",4,5,5
"04003","04003",2025,"Native Pasture","D4b","2025-05-12",5,5,5
"04005","04005",2025,"Native Pasture","D3a","2025-02-04",3,5,4
"04005","04005",2025,"Native Pasture","D3b","2025-03-03",4,5,4
"04005","04005",2025,"Native Pasture","D2","2025-09-15",1,5,4
"04007","04007",2025,"Native Pasture","D3a","2025-02-04",3,5,4
"04007","04007",2025,"Native Pasture","D3b","2025-03-03",4,5,4
"04007","04007",2025,"Native Pasture","D2","2025-12-08",1,5,4
"04009","04009",2025,"Native Pasture","D3a","2025-02-04",3,5,5
"04009","04009",2025,"Native Pasture","D3b","2025-03-03",4,5,5
"04009","04009",2025,"Native Pasture","D4a","2025-04-15",4,5,5
"04009","04009",2025,"Native Pasture","D4b","2025-05-12",5,5,5
"04011","04011",2025,"Native Pasture","D3a","2025-02-04",3,5,5
"04011","04011",2025,"Native Pasture","D3b","2025-03-03",4,5,5
"04011","04011",2025,"Native Pasture","D4a","2025-04-15",4,5,5
"04011","04011",2025,"Native Pasture","D4b","2025-05-12",5,5,5
"04012","04012",2025,"Native Pasture","D3a","2025-01-01",3,5,5
"04012","04012",2025,"Native Pasture","D3b","2025-02-03",4,5,5
"04012","04012",2025,"Native Pasture","D4a","2025-03-04",4,5,5
"04012","04012",2025,"Native Pasture","D4b","2025-03-31",5,5,5
"04012","04012",2025,"Native Pasture","D2","2025-11-17",1,5,5
"04013","04013",2025,"Native Pasture","D3a","2025-01-01",3,5,5
"04013","04013",2025,"Native Pasture","D3b","2025-02-03",4,5,5
"04013","04013",2025,"Native Pasture","D4a","2025-03-04",4,5,5
"04013","04013",2025,"Native Pasture","D4b","2025-03-31",5,5,5
"04015","04015",2025,"Native Pasture","D3a","2025-01-01",3,5,5
"04015","04015",2025,"Native Pasture","D3b","2025-02-03",4,5,5
"04015","04015",2025,"Native Pasture","D4a","2025-02-04",4,5,5
"04015","04015",2025,"Native Pasture","D4b","2025-03-03",5,5,5
"04017","04017",2025,"Native Pasture","D3a","2025-02-04",3,5,4
"04017","04017",2025,"Native Pasture","D3b","2025-03-03",4,5,4
"04017","04017",2025,"Native Pasture","D2","2025-12-15",1,5,4
"04019","04019",2025,"Native Pasture","D3a","2025-01-28",3,5,4
"04019","04019",2025,"Native Pasture","D3b","2025-02-24",4,5,4
"04021","04021",2025,"Native Pasture","D3a","2025-01-21",3,5,5
"04021","04021",2025,"Native Pasture","D3b","2025-02-17",4,5,5
"04021","04021",2025,"Native Pasture","D4a","2025-03-04",4,5,5
"04021","04021",2025,"Native Pasture","D4b","2025-03-31",5,5,5
"04023","04023",2025,"Native Pasture","D3a","2025-02-18",3,5,5
"04023","04023",2025,"Native Pasture","D3b","2025-03-17",4,5,5
"04023","04023",2025,"Native Pasture","D4a","2025-04-15",4,5,5
"04023","04023",2025,"Native Pasture","D4b","2025-05-12",5,5,5
"04025","04025",2025,"Native Pasture","D3a","2025-01-01",3,5,5
"04025","04025",2025,"Native Pasture","D3b","2025-02-03",4,5,5
"04025","04025",2025,"Native Pasture","D4a","2025-03-04",4,5,5
"04025","04025",2025,"Native Pasture","D4b","2025-03-31",5,5,5
"04027","04027",2025,"Native Pasture","D3a","2025-01-01",3,5,5
"04027","04027",2025,"Native Pasture","D3b","2025-02-03",4,5,5
"04027","04027",2025,"Native Pasture","D4a","2025-05-06",4,5,5
"04027","04027",2025,"Native Pasture","D4b","2025-06-02",5,5,5
"05001","05001",2025,"Forage Sorghum","D2","2025-10-20",1,5,1
"05001","05001",2025,"Full Season Improved Pasture","D2","2025-10-20",1,5,1
"05001","05001",2025,"Native Pasture","D2","2025-10-20",1,5,1
"05005","05005",2025,"Forage Sorghum","D2","2025-10-27",1,5,1
"05005","05005",2025,"Full Season Improved Pasture","D2","2025-10-27",1,5,1
"05005","05005",2025,"Native Pasture","D2","2025-10-27",1,5,1
"05007","05007",2025,"Annual Ryegrass","D3a","2024-11-01",3,5,3
"05007","05007",2025,"Long Season Small Grains","D3a","2024-11-01",3,5,3
"05007","05007",2025,"Short Season Small Grains","D3a","2024-11-01",3,4,3
"05009","05009",2025,"Annual Ryegrass","D3a","2024-11-01",3,5,3
"05009","05009",2025,"Long Season Small Grains","D3a","2024-11-01",3,5,3
"05009","05009",2025,"Short Season Small Grains","D3a","2024-11-01",3,4,3
"05013","05013",2025,"Annual Ryegrass","D2","2024-12-26",1,5,1
"05013","05013",2025,"Long Season Small Grains","D2","2024-12-26",1,5,1
"05013","05013",2025,"Short Season Small Grains","D2","2024-12-26",1,4,1
"05015","05015",2025,"Annual Ryegrass","D3a","2024-11-01",3,5,3
"05015","05015",2025,"Long Season Small Grains","D3a","2024-11-01",3,5,3
"05015","05015",2025,"Short Season Small Grains","D3a","2024-11-01",3,4,3
"05021","05021",2025,"Forage Sorghum","D3a","2025-09-16",3,5,3
"05021","05021",2025,"Full Season Improved Pasture","D3a","2025-09-16",3,5,3
"05021","05021",2025,"Native Pasture","D3a","2025-09-16",3,5,3
"05025","05025",2025,"Forage Sorghum","D2","2025-10-13",1,5,1
"05025","05025",2025,"Full Season Improved Pasture","D2","2025-10-13",1,5,1
"05025","05025",2025,"Native Pasture","D2","2025-10-13",1,5,1
"05027","05027",2025,"Annual Ryegrass","D2","2024-12-26",1,5,1
"05027","05027",2025,"Long Season Small Grains","D2","2024-12-26",1,5,1
"05027","05027",2025,"Short Season Small Grains","D2","2024-12-26",1,4,1
"05031","05031",2025,"Forage Sorghum","D3a","2025-09-16",3,5,3
"05031","05031",2025,"Full Season Improved Pasture","D3a","2025-09-16",3,5,3
"05031","05031",2025,"Native Pasture","D3a","2025-09-16",3,5,3
"05049","05049",2025,"Forage Sorghum","D2","2025-10-20",1,5,1
"05049","05049",2025,"Full Season Improved Pasture","D2","2025-10-20",1,5,1
"05049","05049",2025,"Native Pasture","D2","2025-10-20",1,5,1
"05053","05053",2025,"Forage Sorghum","D2","2025-10-20",1,5,1
"05053","05053",2025,"Full Season Improved Pasture","D2","2025-10-20",1,5,1
"05053","05053",2025,"Native Pasture","D2","2025-10-20",1,5,1
"05055","05055",2025,"Forage Sorghum","D3a","2025-09-16",3,5,3
"05055","05055",2025,"Full Season Improved Pasture","D3a","2025-09-16",3,5,3
"05055","05055",2025,"Native Pasture","D3a","2025-09-16",3,5,3
"05061","05061",2025,"Annual Ryegrass","D3a","2024-11-01",3,5,3
"05061","05061",2025,"Long Season Small Grains","D3a","2024-11-01",3,5,3
"05061","05061",2025,"Short Season Small Grains","D3a","2024-11-01",3,4,3
"05063","05063",2025,"Forage Sorghum","D2","2025-10-20",1,5,1
"05063","05063",2025,"Full Season Improved Pasture","D2","2025-10-20",1,5,1
"05063","05063",2025,"Native Pasture","D2","2025-10-20",1,5,1
"05065","05065",2025,"Forage Sorghum","D2","2025-10-13",1,5,1
"05065","05065",2025,"Full Season Improved Pasture","D2","2025-10-13",1,5,1
"05065","05065",2025,"Native Pasture","D2","2025-10-13",1,5,1
"05069","05069",2025,"Forage Sorghum","D2","2025-10-13",1,5,1
"05069","05069",2025,"Full Season Improved Pasture","D2","2025-10-13",1,5,1
"05069","05069",2025,"Native Pasture","D2","2025-10-13",1,5,1
"05075","05075",2025,"Forage Sorghum","D2","2025-10-27",1,5,1
"05075","05075",2025,"Full Season Improved Pasture","D2","2025-10-27",1,5,1
"05075","05075",2025,"Native Pasture","D2","2025-10-27",1,5,1
"05079","05079",2025,"Forage Sorghum","D2","2025-10-13",1,5,1
"05079","05079",2025,"Full Season Improved Pasture","D2","2025-10-13",1,5,1
"05079","05079",2025,"Native Pasture","D2","2025-10-13",1,5,1
"05085","05085",2025,"Forage Sorghum","D2","2025-10-20",1,5,1
"05085","05085",2025,"Full Season Improved Pasture","D2","2025-10-20",1,5,1
"05085","05085",2025,"Native Pasture","D2","2025-10-20",1,5,1
"05087","05087",2025,"Annual Ryegrass","D3a","2024-11-01",3,5,3
"05087","05087",2025,"Long Season Small Grains","D3a","2024-11-01",3,5,3
"05087","05087",2025,"Short Season Small Grains","D3a","2024-11-01",3,4,3
"05089","05089",2025,"Full Season Improved Pasture","D2","2025-11-10",1,5,1
"05089","05089",2025,"Native Pasture","D2","2025-11-10",1,5,1
"05093","05093",2025,"Forage Sorghum","D3a","2025-09-16",3,5,3
"05093","05093",2025,"Full Season Improved Pasture","D3a","2025-09-16",3,5,3
"05093","05093",2025,"Native Pasture","D3a","2025-09-16",3,5,3
"05095","05095",2025,"Forage Sorghum","D2","2025-10-20",1,5,1
"05095","05095",2025,"Full Season Improved Pasture","D2","2025-10-20",1,5,1
"05095","05095",2025,"Native Pasture","D2","2025-10-20",1,5,1
"05097","05097",2025,"Annual Ryegrass","D3a","2024-11-01",3,5,3
"05097","05097",2025,"Long Season Small Grains","D3a","2024-11-01",3,5,3
"05097","05097",2025,"Short Season Small Grains","D3a","2024-11-01",3,4,3
"05101","05101",2025,"Annual Ryegrass","D3a","2024-11-01",3,5,3
"05101","05101",2025,"Long Season Small Grains","D3a","2024-11-01",3,5,3
"05101","05101",2025,"Short Season Small Grains","D3a","2024-11-01",3,4,3
"05103","05103",2025,"Annual Ryegrass","D2","2024-12-26",1,5,1
"05103","05103",2025,"Long Season Small Grains","D2","2024-12-26",1,5,1
"05103","05103",2025,"Short Season Small Grains","D2","2024-12-26",1,4,1
"05113","05113",2025,"Annual Ryegrass","D3a","2024-11-01",3,5,3
"05113","05113",2025,"Long Season Small Grains","D3a","2024-11-01",3,5,3
"05113","05113",2025,"Short Season Small Grains","D3a","2024-11-01",3,4,3
"05117","05117",2025,"Forage Sorghum","D2","2025-10-20",1,5,1
"05117","05117",2025,"Full Season Improved Pasture","D2","2025-10-20",1,5,1
"05117","05117",2025,"Native Pasture","D2","2025-10-20",1,5,1
"05119","05119",2025,"Forage Sorghum","D2","2025-10-20",1,5,1
"05119","05119",2025,"Full Season Improved Pasture","D2","2025-10-20",1,5,1
"05119","05119",2025,"Native Pasture","D2","2025-10-20",1,5,1
"05121","05121",2025,"Forage Sorghum","D2","2025-10-27",1,5,1
"05121","05121",2025,"Full Season Improved Pasture","D2","2025-10-27",1,5,1
"05121","05121",2025,"Native Pasture","D2","2025-10-27",1,5,1
"05127","05127",2025,"Annual Ryegrass","D3a","2024-11-01",3,5,3
"05127","05127",2025,"Long Season Small Grains","D3a","2024-11-01",3,5,3
"05127","05127",2025,"Short Season Small Grains","D3a","2024-11-01",3,4,3
"05135","05135",2025,"Forage Sorghum","D2","2025-10-20",1,5,1
"05135","05135",2025,"Full Season Improved Pasture","D2","2025-10-20",1,5,1
"05135","05135",2025,"Native Pasture","D2","2025-10-20",1,5,1
"05137","05137",2025,"Forage Sorghum","D2","2025-10-13",1,5,1
"05137","05137",2025,"Full Season Improved Pasture","D2","2025-10-13",1,5,1
"05137","05137",2025,"Native Pasture","D2","2025-10-13",1,5,1
"05139","05139",2025,"Annual Ryegrass","D2","2024-12-26",1,5,1
"05139","05139",2025,"Long Season Small Grains","D2","2024-12-26",1,5,1
"05139","05139",2025,"Short Season Small Grains","D2","2024-12-26",1,4,1
"05143","05143",2025,"Annual Ryegrass","D3a","2024-11-01",3,5,3
"05143","05143",2025,"Long Season Small Grains","D3a","2024-11-01",3,5,3
"05143","05143",2025,"Short Season Small Grains","D3a","2024-11-01",3,4,3
"06025","06025",2025,"Full Season Improved Pasture","D3a","2024-11-12",3,5,5
"06025","06025",2025,"Full Season Improved Pasture","D3b","2024-12-09",4,5,5
"06025","06025",2025,"Full Season Improved Pasture","D4a","2025-05-06",4,5,5
"06025","06025",2025,"Full Season Improved Pasture","D4b","2025-06-02",5,5,5
"06025","06025",2025,"Long Season Small Grains","D3a","2025-04-01",3,3,3
"06025","06025",2025,"Long Season Small Grains","D3b","2025-04-28",4,3,3
"06025","06025",2025,"Long Season Small Grains","D4a","2025-05-06",4,3,3
"06025","06025",2025,"Long Season Small Grains","D4b","2025-06-02",5,3,3
"06025","06025",2025,"Native Pasture","D3a","2024-11-12",3,5,5
"06025","06025",2025,"Native Pasture","D3b","2024-12-09",4,5,5
"06025","06025",2025,"Native Pasture","D4a","2025-05-06",4,5,5
"06025","06025",2025,"Native Pasture","D4b","2025-06-02",5,5,5
"06027","06027",2025,"Full Season Improved Pasture","D2","2025-01-06",1,5,4
"06027","06027",2025,"Full Season Improved Pasture","D3a","2025-02-04",3,5,4
"06027","06027",2025,"Full Season Improved Pasture","D3b","2025-03-03",4,5,4
"06027","06027",2025,"Long Season Small Grains","D3a","2025-04-01",3,3,3
"06027","06027",2025,"Long Season Small Grains","D3b","2025-04-28",4,3,3
"06027","06027",2025,"Native Pasture","D2","2025-01-06",1,5,4
"06027","06027",2025,"Native Pasture","D3a","2025-02-04",3,5,4
"06027","06027",2025,"Native Pasture","D3b","2025-03-03",4,5,4
"06029","06029",2025,"Full Season Improved Pasture","D3a","2025-02-04",3,5,3
"06029","06029",2025,"Full Season Improved Pasture","D2","2025-04-14",1,5,3
"06029","06029",2025,"Long Season Small Grains","D2","2025-05-26",1,3,1
"06029","06029",2025,"Native Pasture","D3a","2025-02-04",3,5,3
"06029","06029",2025,"Native Pasture","D2","2025-04-14",1,5,3
"06037","06037",2025,"Full Season Improved Pasture","D3a","2025-01-21",3,5,4
"06037","06037",2025,"Full Season Improved Pasture","D3b","2025-02-17",4,5,4
"06037","06037",2025,"Full Season Improved Pasture","D2","2025-05-12",1,5,4
"06037","06037",2025,"Long Season Small Grains","D2","2025-05-26",1,3,1
"06037","06037",2025,"Native Pasture","D3a","2025-01-21",3,5,4
"06037","06037",2025,"Native Pasture","D3b","2025-02-17",4,5,4
"06037","06037",2025,"Native Pasture","D2","2025-05-12",1,5,4
"06051","06051",2025,"Full Season Improved Pasture","D2","2025-01-06",1,5,1
"06051","06051",2025,"Native Pasture","D2","2025-01-06",1,5,1
"06059","06059",2025,"Full Season Improved Pasture","D3a","2025-01-21",3,5,4
"06059","06059",2025,"Full Season Improved Pasture","D3b","2025-02-17",4,5,4
"06059","06059",2025,"Full Season Improved Pasture","D2","2025-05-12",1,5,4
"06059","06059",2025,"Long Season Small Grains","D2","2025-05-26",1,3,1
"06059","06059",2025,"Native Pasture","D3a","2025-01-21",3,5,4
"06059","06059",2025,"Native Pasture","D3b","2025-02-17",4,5,4
"06059","06059",2025,"Native Pasture","D2","2025-05-12",1,5,4
"06065","06065",2025,"Full Season Improved Pasture","D3a","2024-11-12",3,5,5
"06065","06065",2025,"Full Season Improved Pasture","D3b","2024-12-09",4,5,5
"06065","06065",2025,"Full Season Improved Pasture","D4a","2025-03-04",4,5,5
"06065","06065",2025,"Full Season Improved Pasture","D4b","2025-03-31",5,5,5
"06065","06065",2025,"Long Season Small Grains","D4a","2025-04-01",4,3,3
"06065","06065",2025,"Long Season Small Grains","D4b","2025-04-28",5,3,3
"06065","06065",2025,"Long Season Small Grains","D3a","2025-05-06",3,3,3
"06065","06065",2025,"Long Season Small Grains","D3b","2025-06-02",4,3,3
"06065","06065",2025,"Native Pasture","D3a","2024-11-12",3,5,5
"06065","06065",2025,"Native Pasture","D3b","2024-12-09",4,5,5
"06065","06065",2025,"Native Pasture","D4a","2025-03-04",4,5,5
"06065","06065",2025,"Native Pasture","D4b","2025-03-31",5,5,5
"06071","06071",2025,"Full Season Improved Pasture","D3a","2024-11-12",3,5,5
