"id","state","county","year","type","disaster","disaster_start_date","payment_type"
"01003","Alabama","Baldwin",2016,"Full Season Improved Pasture","Drought",NA,"3 Month"
"01003","Alabama","Baldwin",2011,"Improved Pasture","Drought",NA,"Eligible"
"01003","Alabama","Baldwin",2010,"Improved Pasture","Drought",NA,"Eligible"
"01003","Alabama","Baldwin",2026,"Long Season Small Grains","Drought","2026-04-21","3 Month"
"01003","Alabama","Baldwin",2017,"Long Season Small Grains","Drought",NA,"3 Month"
"01003","Alabama","Baldwin",2012,"Long Season Small Grains","Drought",NA,"3 Month"
"01003","Alabama","Baldwin",2011,"Long Season Small Grains","Drought",NA,"Eligible"
"01003","Alabama","Baldwin",2026,"Native Pasture","Drought","2026-04-21","4 Month"
"01003","Alabama","Baldwin",2026,"Short Season Small Grains","Drought","2026-05-01","2 Month"
"01005","Alabama","Barbour",2026,"Annual Crabgrass","Drought","2026-03-28","4 Month"
"01005","Alabama","Barbour",2026,"Annual Ryegrass","Drought","2025-12-01","4 Month"
"01005","Alabama","Barbour",2017,"Annual Ryegrass","Drought",NA,"4 Month"
"01005","Alabama","Barbour",2026,"Forage Sorghum","Drought","2026-05-01","3 Month"
"01005","Alabama","Barbour",2019,"Forage Sorghum","Drought",NA,"3 Month"
"01005","Alabama","Barbour",2016,"Forage Sorghum","Drought",NA,"3 Month"
"01005","Alabama","Barbour",2012,"Forage Sorghum","Drought",NA,"5 Month"
"01005","Alabama","Barbour",2011,"Forage Sorghum","Drought",NA,"Eligible"
"01005","Alabama","Barbour",2008,"Forage Sorghum","Drought",NA,"Eligible"
"01005","Alabama","Barbour",2026,"Full Season Improved Mixed Pasture","Drought","2025-12-01","4 Month"
"01005","Alabama","Barbour",2019,"Full Season Improved Mixed Pasture","Drought",NA,"3 Month"
"01005","Alabama","Barbour",2026,"Full Season Improved Pasture","Drought","2026-04-01","4 Month"
"01005","Alabama","Barbour",2025,"Full Season Improved Pasture","Drought","2025-11-25","3 Month"
"01005","Alabama","Barbour",2019,"Full Season Improved Pasture","Drought",NA,"3 Month"
"01005","Alabama","Barbour",2017,"Full Season Improved Pasture","Drought",NA,"4 Month"
"01005","Alabama","Barbour",2016,"Full Season Improved Pasture","Drought",NA,"5 Month"
"01005","Alabama","Barbour",2012,"Improved Pasture","Drought",NA,"5 Month"
"01005","Alabama","Barbour",2011,"Improved Pasture","Drought",NA,"Eligible"
"01005","Alabama","Barbour",2008,"Improved Pasture","Drought",NA,"Eligible"
"01005","Alabama","Barbour",2026,"Long Season Small Grains","Drought","2025-12-01","4 Month"
"01005","Alabama","Barbour",2017,"Long Season Small Grains","Drought",NA,"5 Month"
"01005","Alabama","Barbour",2013,"Long Season Small Grains","Drought",NA,"3 Month"
"01005","Alabama","Barbour",2012,"Long Season Small Grains","Drought",NA,"5 Month"
"01005","Alabama","Barbour",2011,"Long Season Small Grains","Drought",NA,"Eligible"
"01005","Alabama","Barbour",2026,"Native Pasture","Drought","2026-03-28","4 Month"
"01005","Alabama","Barbour",2026,"Short Season Small Grains","Drought","2026-05-01","2 Month"
"01005","Alabama","Barbour",2008,"Small Grains","Drought",NA,"Eligible"
"01007","Alabama","Bibb",2026,"Annual Crabgrass","Drought","2026-04-21","3 Month"
"01007","Alabama","Bibb",2026,"Annual Ryegrass","Drought","2025-12-28","3 Month"
"01007","Alabama","Bibb",2024,"Annual Ryegrass","Drought","2023-12-01","4 Month"
"01007","Alabama","Bibb",2018,"Annual Ryegrass","Drought",NA,"3 Month"
"01007","Alabama","Bibb",2017,"Annual Ryegrass","Drought",NA,"5 Month"
"01007","Alabama","Bibb",2026,"Forage Sorghum","Drought","2026-05-01","3 Month"
"01007","Alabama","Bibb",2025,"Forage Sorghum","Drought","2025-10-07","3 Month"
"01007","Alabama","Bibb",2016,"Forage Sorghum","Drought",NA,"4 Month"
"01007","Alabama","Bibb",2011,"Forage Sorghum","Drought",NA,"Eligible"
"01007","Alabama","Bibb",2008,"Forage Sorghum","Drought",NA,"Eligible"
"01007","Alabama","Bibb",2026,"Full Season Improved Mixed Pasture","Drought","2025-12-28","3 Month"
"01007","Alabama","Bibb",2025,"Full Season Improved Mixed Pasture","Drought","2025-10-07","3 Month"
"01007","Alabama","Bibb",2024,"Full Season Improved Mixed Pasture","Drought","2023-12-01","4 Month"
"01007","Alabama","Bibb",2018,"Full Season Improved Mixed Pasture","Drought",NA,"3 Month"
"01007","Alabama","Bibb",2026,"Full Season Improved Pasture","Drought","2026-04-21","3 Month"
"01007","Alabama","Bibb",2025,"Full Season Improved Pasture","Drought","2025-10-07","4 Month"
"01007","Alabama","Bibb",2023,"Full Season Improved Pasture","Drought","2023-11-14","3 Month"
"01007","Alabama","Bibb",2017,"Full Season Improved Pasture","Drought",NA,"5 Month"
"01007","Alabama","Bibb",2016,"Full Season Improved Pasture","Drought",NA,"5 Month"
"01007","Alabama","Bibb",2011,"Improved Pasture","Drought",NA,"Eligible"
"01007","Alabama","Bibb",2008,"Improved Pasture","Drought",NA,"Eligible"
"01007","Alabama","Bibb",2026,"Long Season Small Grains","Drought","2025-12-28","3 Month"
"01007","Alabama","Bibb",2024,"Long Season Small Grains","Drought","2023-12-01","4 Month"
"01007","Alabama","Bibb",2018,"Long Season Small Grains","Drought",NA,"3 Month"
"01007","Alabama","Bibb",2017,"Long Season Small Grains","Drought",NA,"5 Month"
"01007","Alabama","Bibb",2012,"Long Season Small Grains","Drought",NA,"3 Month"
"01007","Alabama","Bibb",2026,"Native Pasture","Drought","2026-04-21","3 Month"
"01007","Alabama","Bibb",2026,"Short Season Small Grains","Drought","2026-05-01","2 Month"
"01007","Alabama","Bibb",2008,"Small Grains","Drought",NA,"Eligible"
"01009","Alabama","Blount",2024,"Annual Ryegrass","Drought","2023-12-01","4 Month"
"01009","Alabama","Blount",2017,"Annual Ryegrass","Drought",NA,"5 Month"
"01009","Alabama","Blount",2023,"Forage Sorghum","Drought","2023-10-31","3 Month"
"01009","Alabama","Blount",2016,"Forage Sorghum","Drought",NA,"3 Month"
"01009","Alabama","Blount",2008,"Forage Sorghum","Drought",NA,"Eligible"
"01009","Alabama","Blount",2024,"Full Season Improved Mixed Pasture","Drought","2023-12-01","4 Month"
"01009","Alabama","Blount",2023,"Full Season Improved Pasture","Drought","2023-10-31","3 Month"
"01009","Alabama","Blount",2017,"Full Season Improved Pasture","Drought",NA,"5 Month"
"01009","Alabama","Blount",2016,"Full Season Improved Pasture","Drought",NA,"5 Month"
"01009","Alabama","Blount",2008,"Improved Pasture","Drought",NA,"Eligible"
"01009","Alabama","Blount",2024,"Long Season Small Grains","Drought","2023-12-01","4 Month"
"01009","Alabama","Blount",2017,"Long Season Small Grains","Drought",NA,"5 Month"
"01009","Alabama","Blount",2008,"Small Grains","Drought",NA,"Eligible"
"01011","Alabama","Bullock",2026,"Annual Crabgrass","Drought","2026-03-01","4 Month"
"01011","Alabama","Bullock",2026,"Annual Ryegrass","Drought","2025-12-28","4 Month"
"01011","Alabama","Bullock",2017,"Annual Ryegrass","Drought",NA,"4 Month"
"01011","Alabama","Bullock",2026,"Forage Sorghum","Drought","2026-05-01","3 Month"
"01011","Alabama","Bullock",2016,"Forage Sorghum","Drought",NA,"3 Month"
"01011","Alabama","Bullock",2012,"Forage Sorghum","Drought",NA,"4 Month"
"01011","Alabama","Bullock",2011,"Forage Sorghum","Drought",NA,"Eligible"
"01011","Alabama","Bullock",2008,"Forage Sorghum","Drought",NA,"Eligible"
"01011","Alabama","Bullock",2026,"Full Season Improved Mixed Pasture","Drought","2025-12-28","4 Month"
"01011","Alabama","Bullock",2026,"Full Season Improved Pasture","Drought","2026-04-01","4 Month"
"01011","Alabama","Bullock",2017,"Full Season Improved Pasture","Drought",NA,"4 Month"
"01011","Alabama","Bullock",2016,"Full Season Improved Pasture","Drought",NA,"4 Month"
"01011","Alabama","Bullock",2012,"Improved Pasture","Drought",NA,"4 Month"
"01011","Alabama","Bullock",2011,"Improved Pasture","Drought",NA,"Eligible"
"01011","Alabama","Bullock",2010,"Improved Pasture","Drought",NA,"Eligible"
"01011","Alabama","Bullock",2008,"Improved Pasture","Drought",NA,"Eligible"
"01011","Alabama","Bullock",2026,"Long Season Small Grains","Drought","2025-12-28","4 Month"
"01011","Alabama","Bullock",2017,"Long Season Small Grains","Drought",NA,"4 Month"
"01011","Alabama","Bullock",2013,"Long Season Small Grains","Drought",NA,"4 Month"
"01011","Alabama","Bullock",2012,"Long Season Small Grains","Drought",NA,"4 Month"
"01011","Alabama","Bullock",2011,"Long Season Small Grains","Drought",NA,"Eligible"
"01011","Alabama","Bullock",2026,"Native Pasture","Drought","2026-03-01","4 Month"
"01011","Alabama","Bullock",2026,"Short Season Small Grains","Drought","2026-05-01","2 Month"
"01011","Alabama","Bullock",2008,"Small Grains","Drought",NA,"Eligible"
"01013","Alabama","Butler",2026,"Annual Crabgrass","Drought","2026-03-01","4 Month"
"01013","Alabama","Butler",2026,"Annual Ryegrass","Drought","2025-12-01","4 Month"
"01013","Alabama","Butler",2017,"Annual Ryegrass","Drought",NA,"4 Month"
"01013","Alabama","Butler",2026,"Forage Sorghum","Drought","2026-05-01","3 Month"
"01013","Alabama","Butler",2023,"Forage Sorghum","Drought","2023-10-24","3 Month"
"01013","Alabama","Butler",2012,"Forage Sorghum","Drought",NA,"4 Month"
"01013","Alabama","Butler",2011,"Forage Sorghum","Drought",NA,"Eligible"
"01013","Alabama","Butler",2026,"Full Season Improved Mixed Pasture","Drought","2025-12-01","4 Month"
"01013","Alabama","Butler",2026,"Full Season Improved Pasture","Drought","2026-04-01","4 Month"
"01013","Alabama","Butler",2025,"Full Season Improved Pasture","Drought","2025-11-25","3 Month"
"01013","Alabama","Butler",2023,"Full Season Improved Pasture","Drought","2023-10-24","3 Month"
"01013","Alabama","Butler",2017,"Full Season Improved Pasture","Drought",NA,"4 Month"
"01013","Alabama","Butler",2016,"Full Season Improved Pasture","Drought",NA,"4 Month"
"01013","Alabama","Butler",2012,"Improved Pasture","Drought",NA,"4 Month"
"01013","Alabama","Butler",2011,"Improved Pasture","Drought",NA,"Eligible"
"01013","Alabama","Butler",2010,"Improved Pasture","Drought",NA,"Eligible"
"01013","Alabama","Butler",2026,"Long Season Small Grains","Drought","2025-12-01","4 Month"
"01013","Alabama","Butler",2017,"Long Season Small Grains","Drought",NA,"4 Month"
"01013","Alabama","Butler",2012,"Long Season Small Grains","Drought",NA,"4 Month"
"01013","Alabama","Butler",2026,"Native Pasture","Drought","2026-03-01","4 Month"
"01013","Alabama","Butler",2026,"Short Season Small Grains","Drought","2026-05-01","2 Month"
"01013","Alabama","Butler",2008,"Small Grains","Drought",NA,"Eligible"
"01015","Alabama","Calhoun",2026,"Annual Crabgrass","Drought","2026-05-18","1 Month"
"01015","Alabama","Calhoun",2024,"Annual Ryegrass","Drought","2023-12-01","4 Month"
"01015","Alabama","Calhoun",2017,"Annual Ryegrass","Drought",NA,"5 Month"
"01015","Alabama","Calhoun",2016,"Forage Sorghum","Drought",NA,"3 Month"
"01015","Alabama","Calhoun",2012,"Forage Sorghum","Drought",NA,"3 Month"
"01015","Alabama","Calhoun",2008,"Forage Sorghum","Drought",NA,"Eligible"
"01015","Alabama","Calhoun",2026,"Full Season Improved Mixed Pasture","Drought","2026-05-18","1 Month"
"01015","Alabama","Calhoun",2024,"Full Season Improved Mixed Pasture","Drought","2023-12-01","4 Month"
"01015","Alabama","Calhoun",2026,"Full Season Improved Pasture","Drought","2026-05-18","1 Month"
"01015","Alabama","Calhoun",2023,"Full Season Improved Pasture","Drought","2023-11-14","3 Month"
"01015","Alabama","Calhoun",2017,"Full Season Improved Pasture","Drought",NA,"5 Month"
"01015","Alabama","Calhoun",2016,"Full Season Improved Pasture","Drought",NA,"5 Month"
"01015","Alabama","Calhoun",2012,"Improved Pasture","Drought",NA,"3 Month"
"01015","Alabama","Calhoun",2008,"Improved Pasture","Drought",NA,"Eligible"
"01015","Alabama","Calhoun",2024,"Long Season Small Grains","Drought","2023-12-01","4 Month"
"01015","Alabama","Calhoun",2017,"Long Season Small Grains","Drought",NA,"5 Month"
"01015","Alabama","Calhoun",2026,"Native Pasture","Drought","2026-05-18","1 Month"
"01015","Alabama","Calhoun",2008,"Small Grains","Drought",NA,"Eligible"
"01017","Alabama","Chambers",2026,"Annual Crabgrass","Drought","2026-03-01","4 Month"
"01017","Alabama","Chambers",2026,"Annual Ryegrass","Drought","2025-12-28","4 Month"
"01017","Alabama","Chambers",2017,"Annual Ryegrass","Drought",NA,"5 Month"
"01017","Alabama","Chambers",2026,"Forage Sorghum","Drought","2026-05-01","3 Month"
"01017","Alabama","Chambers",2016,"Forage Sorghum","Drought",NA,"4 Month"
"01017","Alabama","Chambers",2012,"Forage Sorghum","Drought",NA,"4 Month"
"01017","Alabama","Chambers",2011,"Forage Sorghum","Drought",NA,"Eligible"
"01017","Alabama","Chambers",2010,"Forage Sorghum","Drought",NA,"Eligible"
"01017","Alabama","Chambers",2008,"Forage Sorghum","Drought",NA,"Eligible"
"01017","Alabama","Chambers",2026,"Full Season Improved Mixed Pasture","Drought","2025-12-28","4 Month"
"01017","Alabama","Chambers",2026,"Full Season Improved Pasture","Drought","2026-04-01","4 Month"
"01017","Alabama","Chambers",2025,"Full Season Improved Pasture","Drought","2025-11-17","1 Month"
"01017","Alabama","Chambers",2017,"Full Season Improved Pasture","Drought",NA,"5 Month"
"01017","Alabama","Chambers",2016,"Full Season Improved Pasture","Drought",NA,"5 Month"
"01017","Alabama","Chambers",2012,"Improved Pasture","Drought",NA,"5 Month"
"01017","Alabama","Chambers",2011,"Improved Pasture","Drought",NA,"Eligible"
"01017","Alabama","Chambers",2010,"Improved Pasture","Drought",NA,"Eligible"
"01017","Alabama","Chambers",2008,"Improved Pasture","Drought",NA,"Eligible"
"01017","Alabama","Chambers",2026,"Long Season Small Grains","Drought","2025-12-28","4 Month"
"01017","Alabama","Chambers",2017,"Long Season Small Grains","Drought",NA,"5 Month"
"01017","Alabama","Chambers",2013,"Long Season Small Grains","Drought",NA,"5 Month"
"01017","Alabama","Chambers",2012,"Long Season Small Grains","Drought",NA,"4 Month"
"01017","Alabama","Chambers",2011,"Long Season Small Grains","Drought",NA,"Eligible"
"01017","Alabama","Chambers",2026,"Native Pasture","Drought","2026-03-01","4 Month"
"01017","Alabama","Chambers",2026,"Short Season Small Grains","Drought","2026-05-01","2 Month"
"01017","Alabama","Chambers",2008,"Small Grains","Drought",NA,"Eligible"
"01019","Alabama","Cherokee",2026,"Annual Crabgrass","Drought","2026-03-28","3 Month"
"01019","Alabama","Cherokee",2026,"Annual Ryegrass","Drought","2026-03-16","3 Month"
"01019","Alabama","Cherokee",2024,"Annual Ryegrass","Drought","2023-12-01","4 Month"
"01019","Alabama","Cherokee",2017,"Annual Ryegrass","Drought",NA,"5 Month"
"01019","Alabama","Cherokee",2026,"Forage Sorghum","Drought","2026-05-01","3 Month"
"01019","Alabama","Cherokee",2023,"Forage Sorghum","Drought","2023-10-24","3 Month"
"01019","Alabama","Cherokee",2016,"Forage Sorghum","Drought",NA,"3 Month"
"01019","Alabama","Cherokee",2012,"Forage Sorghum","Drought",NA,"1 Month"
"01019","Alabama","Cherokee",2008,"Forage Sorghum","Drought",NA,"Eligible"
"01019","Alabama","Cherokee",2026,"Full Season Improved Mixed Pasture","Drought","2026-03-16","3 Month"
"01019","Alabama","Cherokee",2024,"Full Season Improved Mixed Pasture","Drought","2023-12-01","4 Month"
"01019","Alabama","Cherokee",2026,"Full Season Improved Pasture","Drought","2026-04-28","3 Month"
"01019","Alabama","Cherokee",2023,"Full Season Improved Pasture","Drought","2023-10-24","4 Month"
"01019","Alabama","Cherokee",2017,"Full Season Improved Pasture","Drought",NA,"5 Month"
"01019","Alabama","Cherokee",2016,"Full Season Improved Pasture","Drought",NA,"5 Month"
"01019","Alabama","Cherokee",2012,"Improved Pasture","Drought",NA,"1 Month"
"01019","Alabama","Cherokee",2008,"Improved Pasture","Drought",NA,"Eligible"
"01019","Alabama","Cherokee",2026,"Long Season Small Grains","Drought","2026-03-16","3 Month"
"01019","Alabama","Cherokee",2024,"Long Season Small Grains","Drought","2023-12-01","4 Month"
"01019","Alabama","Cherokee",2017,"Long Season Small Grains","Drought",NA,"5 Month"
"01019","Alabama","Cherokee",2026,"Native Pasture","Drought","2026-03-28","3 Month"
"01019","Alabama","Cherokee",2026,"Short Season Small Grains","Drought","2026-05-01","2 Month"
"01019","Alabama","Cherokee",2008,"Small Grains","Drought",NA,"Eligible"
"01021","Alabama","Chilton",2026,"Annual Crabgrass","Drought","2026-04-21","3 Month"
"01021","Alabama","Chilton",2026,"Annual Ryegrass","Drought","2026-04-21","3 Month"
"01021","Alabama","Chilton",2025,"Annual Ryegrass","Drought","2025-01-25","1 Month"
"01021","Alabama","Chilton",2024,"Annual Ryegrass","Drought","2023-12-01","4 Month"
"01021","Alabama","Chilton",2017,"Annual Ryegrass","Drought",NA,"5 Month"
"01021","Alabama","Chilton",2026,"Forage Sorghum","Drought","2026-05-01","3 Month"
"01021","Alabama","Chilton",2025,"Forage Sorghum","Drought","2025-10-21","3 Month"
"01021","Alabama","Chilton",2019,"Forage Sorghum","Drought",NA,"4 Month"
"01021","Alabama","Chilton",2016,"Forage Sorghum","Drought",NA,"4 Month"
"01021","Alabama","Chilton",2012,"Forage Sorghum","Drought",NA,"1 Month"
"01021","Alabama","Chilton",2011,"Forage Sorghum","Drought",NA,"Eligible"
"01021","Alabama","Chilton",2008,"Forage Sorghum","Drought",NA,"Eligible"
"01021","Alabama","Chilton",2026,"Full Season Improved Mixed Pasture","Drought","2026-04-21","3 Month"
"01021","Alabama","Chilton",2025,"Full Season Improved Mixed Pasture","Drought","2025-01-25","1 Month"
"01021","Alabama","Chilton",2024,"Full Season Improved Mixed Pasture","Drought","2023-12-01","4 Month"
"01021","Alabama","Chilton",2019,"Full Season Improved Mixed Pasture","Drought",NA,"3 Month"
"01021","Alabama","Chilton",2026,"Full Season Improved Pasture","Drought","2026-04-21","3 Month"
"01021","Alabama","Chilton",2025,"Full Season Improved Pasture","Drought","2025-10-21","3 Month"
"01021","Alabama","Chilton",2023,"Full Season Improved Pasture","Drought","2023-11-14","3 Month"
"01021","Alabama","Chilton",2019,"Full Season Improved Pasture","Drought",NA,"4 Month"
"01021","Alabama","Chilton",2017,"Full Season Improved Pasture","Drought",NA,"5 Month"
"01021","Alabama","Chilton",2016,"Full Season Improved Pasture","Drought",NA,"5 Month"
"01021","Alabama","Chilton",2012,"Improved Pasture","Drought",NA,"1 Month"
"01021","Alabama","Chilton",2011,"Improved Pasture","Drought",NA,"Eligible"
"01021","Alabama","Chilton",2008,"Improved Pasture","Drought",NA,"Eligible"
"01021","Alabama","Chilton",2026,"Long Season Small Grains","Drought","2026-04-21","3 Month"
"01021","Alabama","Chilton",2025,"Long Season Small Grains","Drought","2025-01-25","1 Month"
"01021","Alabama","Chilton",2024,"Long Season Small Grains","Drought","2023-12-01","4 Month"
"01021","Alabama","Chilton",2017,"Long Season Small Grains","Drought",NA,"5 Month"
"01021","Alabama","Chilton",2013,"Long Season Small Grains","Drought",NA,"1 Month"
"01021","Alabama","Chilton",2012,"Long Season Small Grains","Drought",NA,"3 Month"
"01021","Alabama","Chilton",2026,"Native Pasture","Drought","2026-04-21","3 Month"
"01021","Alabama","Chilton",2026,"Short Season Small Grains","Drought","2026-05-01","2 Month"
"01021","Alabama","Chilton",2008,"Small Grains","Drought",NA,"Eligible"
"01023","Alabama","Choctaw",2026,"Annual Crabgrass","Drought","2026-03-28","3 Month"
"01023","Alabama","Choctaw",2026,"Annual Ryegrass","Drought","2025-12-01","4 Month"
"01023","Alabama","Choctaw",2025,"Annual Ryegrass","Drought","2024-12-01","3 Month"
"01023","Alabama","Choctaw",2024,"Annual Ryegrass","Drought","2024-01-25","1 Month"
"01023","Alabama","Choctaw",2017,"Annual Ryegrass","Drought",NA,"4 Month"
"01023","Alabama","Choctaw",2026,"Forage Sorghum","Drought","2026-05-01","3 Month"
"01023","Alabama","Choctaw",2025,"Forage Sorghum","Drought","2025-10-14","3 Month"
"01023","Alabama","Choctaw",2026,"Full Season Improved Mixed Pasture","Drought","2025-12-01","4 Month"
"01023","Alabama","Choctaw",2025,"Full Season Improved Mixed Pasture","Drought","2024-12-01","3 Month"
"01023","Alabama","Choctaw",2024,"Full Season Improved Mixed Pasture","Drought","2024-01-25","1 Month"
"01023","Alabama","Choctaw",2026,"Full Season Improved Pasture","Drought","2026-04-21","3 Month"
"01023","Alabama","Choctaw",2025,"Full Season Improved Pasture","Drought","2025-10-14","4 Month"
"01023","Alabama","Choctaw",2024,"Full Season Improved Pasture","Drought","2024-11-12","3 Month"
"01023","Alabama","Choctaw",2017,"Full Season Improved Pasture","Drought",NA,"4 Month"
"01023","Alabama","Choctaw",2016,"Full Season Improved Pasture","Drought",NA,"4 Month"
"01023","Alabama","Choctaw",2026,"Long Season Small Grains","Drought","2025-12-01","4 Month"
"01023","Alabama","Choctaw",2025,"Long Season Small Grains","Drought","2024-12-01","3 Month"
"01023","Alabama","Choctaw",2024,"Long Season Small Grains","Drought","2024-01-25","1 Month"
"01023","Alabama","Choctaw",2017,"Long Season Small Grains","Drought",NA,"4 Month"
"01023","Alabama","Choctaw",2011,"Long Season Small Grains","Drought",NA,"Eligible"
"01023","Alabama","Choctaw",2026,"Native Pasture","Drought","2026-03-28","3 Month"
"01023","Alabama","Choctaw",2026,"Short Season Small Grains","Drought","2026-05-01","2 Month"
"01023","Alabama","Choctaw",2008,"Small Grains","Drought",NA,"Eligible"
"01025","Alabama","Clarke",2026,"Annual Crabgrass","Drought","2026-04-21","3 Month"
"01025","Alabama","Clarke",2026,"Annual Ryegrass","Drought","2025-12-01","4 Month"
"01025","Alabama","Clarke",2025,"Annual Ryegrass","Drought","2025-01-25","1 Month"
"01025","Alabama","Clarke",2017,"Annual Ryegrass","Drought",NA,"4 Month"
"01025","Alabama","Clarke",2026,"Forage Sorghum","Drought","2026-05-01","3 Month"
"01025","Alabama","Clarke",2025,"Forage Sorghum","Drought","2025-10-21","3 Month"
"01025","Alabama","Clarke",2023,"Forage Sorghum","Drought","2023-10-03","4 Month"
"01025","Alabama","Clarke",2011,"Forage Sorghum","Drought",NA,"Eligible"
"01025","Alabama","Clarke",2010,"Forage Sorghum","Drought",NA,"Eligible"
"01025","Alabama","Clarke",2026,"Full Season Improved Mixed Pasture","Drought","2025-12-01","4 Month"
"01025","Alabama","Clarke",2025,"Full Season Improved Mixed Pasture","Drought","2025-01-25","1 Month"
"01025","Alabama","Clarke",2023,"Full Season Improved Mixed Pasture","Drought","2023-10-03","3 Month"
"01025","Alabama","Clarke",2026,"Full Season Improved Pasture","Drought","2026-04-21","3 Month"
"01025","Alabama","Clarke",2025,"Full Season Improved Pasture","Drought","2025-10-21","4 Month"
"01025","Alabama","Clarke",2023,"Full Season Improved Pasture","Drought","2023-10-03","4 Month"
"01025","Alabama","Clarke",2017,"Full Season Improved Pasture","Drought",NA,"4 Month"
"01025","Alabama","Clarke",2016,"Full Season Improved Pasture","Drought",NA,"4 Month"
"01025","Alabama","Clarke",2011,"Improved Pasture","Drought",NA,"Eligible"
"01025","Alabama","Clarke",2010,"Improved Pasture","Drought",NA,"Eligible"
"01025","Alabama","Clarke",2026,"Long Season Small Grains","Drought","2025-12-01","4 Month"
"01025","Alabama","Clarke",2025,"Long Season Small Grains","Drought","2025-01-25","1 Month"
"01025","Alabama","Clarke",2017,"Long Season Small Grains","Drought",NA,"4 Month"
"01025","Alabama","Clarke",2011,"Long Season Small Grains","Drought",NA,"Eligible"
"01025","Alabama","Clarke",2026,"Native Pasture","Drought","2026-04-21","3 Month"
"01025","Alabama","Clarke",2026,"Short Season Small Grains","Drought","2026-05-01","2 Month"
"01025","Alabama","Clarke",2008,"Small Grains","Drought",NA,"Eligible"
"01027","Alabama","Clay",2026,"Annual Crabgrass","Drought","2026-05-18","1 Month"
"01027","Alabama","Clay",2024,"Annual Ryegrass","Drought","2023-12-19","3 Month"
"01027","Alabama","Clay",2017,"Annual Ryegrass","Drought",NA,"5 Month"
"01027","Alabama","Clay",2026,"Forage Sorghum","Drought","2026-05-28","1 Month"
"01027","Alabama","Clay",2019,"Forage Sorghum","Drought",NA,"3 Month"
